total_reward,episode_cost,episode_co2,episode_unserved,episode_ramp
-720.5012590844218,241.11667985946463,761.5550237571724,0.0,748.3854990217933
-832.8948576250128,278.4624318642302,883.4252015418881,1.4210854715202004e-14,812.5768278549889
-786.3012163480416,264.06065433053993,836.0782434004598,1.4210854715202004e-14,686.4538659075291
-800.2783355834314,269.2945151433077,851.4826257272177,1.4210854715202004e-14,669.8081667931004
-780.4479667139681,261.0545641460278,824.742111310002,0.0,818.2711927313032
-887.1191566804717,299.38269359199535,946.8685410929189,0.0,653.8446144241688
-927.2383797490565,310.98052038422725,987.9891737400961,0.0,782.1451706923876
-846.6099511887961,284.7253284385567,899.5365496947834,0.0,738.7564311123099
-836.5889343564673,281.5880806805601,890.7742068675399,0.0,684.5443185127806
-807.2324430193286,270.134051818008,854.6021756839779,0.0,811.2361930311343
-784.0441821263773,264.6488379699977,836.6628753433858,0.0,579.9206316782727
-623.5150717166804,208.32105919369755,655.5354303523218,0.0,729.091810386325
-790.5156258770046,263.501725518631,832.1565311763726,7.105427357601002e-15,923.9993884183334
-851.0914915793696,284.65131454215106,903.873287575628,1.4210854715202004e-14,803.8734830613917
-758.7070118635152,252.98317040651406,800.0250352333791,0.0,856.9606772324563
-858.5984438658629,288.80984581463304,916.4343113872333,1.4210854715202004e-14,664.2670406296606
-896.6552917501494,302.16531578918756,953.2107880459802,0.0,752.1167711124588
-714.2642038920349,239.66249436420145,755.5810553000003,2.1316282072803006e-14,708.4358782611021
-833.9646136771,281.5076869717742,892.2429937993895,0.0,570.3710141897311
-963.4965502733846,324.5109949403135,1031.3244111399663,0.0,673.0302883030477
-850.8536202964414,285.99445028556363,904.5330817535665,1.4210854715202004e-14,737.9773652912602
-810.912292278055,271.30104038253086,860.4192831456007,0.0,778.6560669387911
-904.0578783993453,303.14262978244966,961.8314239636796,1.4210854715202004e-14,793.8798079562633
-858.0855752004856,287.3410156100433,907.8229042555602,0.0,868.3605679035359
-749.259442526358,251.74366022081009,794.2824510692691,0.0,698.2103887995462
-880.0243136611384,293.5259363364153,931.0623064951574,0.0,928.6997809209515
-901.8658533248481,305.367593617996,970.4950963986909,1.4210854715202004e-14,473.373395587914
-703.9034785490912,237.15286331886952,746.8803510638726,1.4210854715202004e-14,620.7468197299411
-735.6410735639414,246.11277077979616,779.401583159866,0.0,729.5784296075205
-854.5115360777886,287.1089319530949,908.1944294073996,1.4210854715202004e-14,749.5315493417961
-851.6642503245167,284.7673230474063,903.3835519310106,0.0,828.8932039501417
-786.0605465077456,262.6372892506358,831.4539370081733,1.4210854715202004e-14,818.363168406863
-885.8857895723901,295.06592314288196,931.3257830407358,7.105427357601002e-15,1067.479886835554
-792.0292129354677,265.5282714461865,842.1771710074931,0.0,706.4879628261732
-784.5379041542483,263.57629150615765,835.2995088455069,0.0,659.3969113595526
-843.0342245333309,283.4302389945588,899.5116172059664,0.0,663.2338405064095
-911.985271822349,305.4436760079706,970.543680909125,7.105427357601002e-15,807.1795756301108
-887.9766282125497,299.59809855879905,946.9999229515066,0.0,672.6191960948851
-840.022532737672,283.28421858415214,898.4350538379596,7.105427357601002e-15,589.2427283581357
-799.4369644095343,269.8511728556378,854.9059008451195,0.0,554.7417015608271
-817.7850821493823,275.11090348076016,873.4593332507592,0.0,619.9526239388899
-841.7406037964772,282.78320370053166,899.1511439224854,0.0,648.8904580818117
-868.096813398502,292.8683632813145,929.7425297526379,2.1316282072803006e-14,579.4310755201507
-783.4471657350763,262.7199846507873,826.2479912875498,0.0,832.6128770586333
-921.023891803962,309.17016809498944,979.9175654068852,0.0,796.7728154947117
-894.6480128718649,300.8560281566087,955.6369948490731,0.0,680.3262601937515
-928.3491833923144,312.27372508026775,991.0638093908583,2.842170943040401e-14,714.5724225843887
-755.5330380438074,252.53399304954968,797.3448150524601,1.4210854715202004e-14,819.7385320927195
-848.3958462551684,286.1205768442562,906.6886563266211,2.842170943040401e-14,608.7358538313114
-789.2864781849141,264.59710492653426,835.4644965176567,0.0,780.355844926201
